编号,名字,描述,归属人编号,类型
1,木棒,一根长度客观的木棒，应该可以燃烧很久,0,t
2,火把,当一个道具点燃后，它就变成了另一个道具,0,t
3,忏悔小像,对万物崇敬，对自身厌恶,0,t
4,棋谱,一张棋谱，永远流行的游戏。,0,c
5,种子,这个星球的生命之缘，新球唯一的主人，上帝从来没有眷顾人类。,0,t
6,第一张书页,一段也许想表达什么的书页，上面写着CABALA。,0,c
7,第二张书页,另一段想表达什么的书页，上面好像写着一些看不懂的古老符号□‥nŋÿŸ。,0,c
8,锤子,便于携带的锤子，估计是用来装饰家具用的。,0,t
9,斧子,为什么特备的，非常常用的和传统的劈柴斧子。,0,t
10,旅游指南,一本当地旅游指南，里面没什么特别的，里面几乎没有什么有趣的介绍，书又被撕过的痕迹，保留的内容除了宗教以外就没什么了，而且这些指南对宗教的介绍也只有寥寥几句话。,0,c
11,灰色钥匙,应该是遗弃的太久掉色了，看上去是一把打开什么重要地方的钥匙。,0,t
12,燃料红桶,一般这种油桶是被装在汽车上，以备不时之需的。,0,t
13,一堆木材,希望在你用它的时候，它不会哭泣，因为潮湿的木头点不着。,0,t
14,一张写着罪恶之树的明星片,这张明信片上有着一张非常美丽的胜树，但是被红色颜料写着“一切的罪恶”。,0,c
15,家庭照片,里面没什么特别的，里面几乎没有什么有趣的介绍，书又被撕过的痕迹，保留的内容除了宗教以外就没什么了，而且这些指南对宗教的介绍也只有寥寥几句话。,0,c
16,一本当地旅游指南,一本当地旅游指南，里面没什么特别的，里面几乎没有什么有趣的介绍，书又被撕过的痕迹，保留的内容除了宗教以外就没什么了，而且这些指南对宗教的介绍也只有寥寥几句话。, 0,c
17,一把猎枪,这把猎枪是十九世纪中期制造，距离自己所知的时代相对久远，是无烟火药装填，但是确实一种用火帽激发的后填式步枪。因为没有连珠设计，所以只能打一发填一发。,0,c
18,《金枝的消亡》,一本小说，因这本书的出版社估计不是什么专业人士，因为这本书没有简介和评语，甚至排版也看上去只是作者按照自己的想法排的。小说讲述的是圣神的古树从万人敬仰到逐渐枯萎；再也没有人从神树下取走秘密，金枝的金黄开始褪色，古老神树在流血。,0,c
19,一份家庭开支,家庭开支内容很多，孩子的学费，有些奢侈的衣物和家具，甚至每年一次的旅游。,1,c
20,孩子的奖状上贴着成绩单,孩子的数学、化学、物理成绩不错，地理和历史也拿到了优异的成绩，但是体育和语文就差劲不少，老师在评语里写也许这个孩子可以继续提升，希望他能在校外比赛中弥补学习弥补自己的不足。,1,c
21,有大把资料的文件夹,一些公司里烦人的琐事，自己的一直努力工作，但是他的回报则是被领导压榨，然后自己的同事因为他并不积极的参与维权而排挤自己。,1,c
22,一张非常模糊未对焦的女友照片,这张照片好像只存在我破碎的记忆里，当我每次收起照片时，不经让我觉得这张照片只在我梦中见过。我确定我能记起她的长相，可是......该死，什么也想不起来。,2,c
23,令人沮丧的委婉拒接,您好，我们看了您的作品，我们会尽快对您的作品进行评估;评评评，都评估了半年了，还是没给回信.......难道我的作品真的那么糟糕吗？,2,c
24,第一个粉丝的礼物,这是一个我以前作品的角色！这太令人惊喜了，这个读者居然把这个只活跃在文字和纸张的小家伙具象化了，现在它有了自己的身体，实在是.....不，我真不知道我应该先为我有粉丝而高兴，还是先为我的作品被认可而高兴。,2,c
